id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description,tags,contexts,instruments,instrumental,explicit,era
72,Borrowed Bicycle,Maple Cinema,indie pop,hopeful,0.58,108,0.74,0.63,0.38,Borrowed Bicycle by Maple Cinema is a hopeful indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for creative breaks.,indie pop|hopeful|jangly guitars|diary-like lyrics|handmade pop,creative breaks|casual hangs|coming-of-age playlists,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2010s
73,Cinema Flowers,The Soft Detours,indie pop,nostalgic,0.62,112,0.78,0.75,0.24,Cinema Flowers by The Soft Detours is a nostalgic indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for casual hangs.,indie pop|nostalgic|jangly guitars|diary-like lyrics|handmade pop,casual hangs|coming-of-age playlists|sunny walks,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2020s
74,Tiny Revolutions,June Kite,indie pop,happy,0.66,116,0.82,0.71,0.28,Tiny Revolutions by June Kite is a happy indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for coming-of-age playlists.,indie pop|happy|jangly guitars|diary-like lyrics|handmade pop,coming-of-age playlists|sunny walks|creative breaks,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2000s
75,Porchlight Theory,Bedroom Atlas,indie pop,romantic,0.70,120,0.64,0.57,0.32,Porchlight Theory by Bedroom Atlas is a romantic indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for sunny walks.,indie pop|romantic|jangly guitars|diary-like lyrics|handmade pop,sunny walks|creative breaks|casual hangs,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2010s
76,Daydream Receipt,Honey Static,indie pop,playful,0.74,124,0.76,0.61,0.36,Daydream Receipt by Honey Static is a playful indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for creative breaks.,indie pop|playful|jangly guitars|diary-like lyrics|handmade pop,creative breaks|casual hangs|coming-of-age playlists,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2020s
77,Suburban Comet,Maple Cinema,indie pop,romantic,0.78,128,0.72,0.65,0.40,Suburban Comet by Maple Cinema is a romantic indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for casual hangs.,indie pop|romantic|jangly guitars|diary-like lyrics|handmade pop,casual hangs|coming-of-age playlists|sunny walks,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2000s
78,Lucky Sweater,The Soft Detours,indie pop,playful,0.60,110,0.58,0.69,0.44,Lucky Sweater by The Soft Detours is a playful indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for coming-of-age playlists.,indie pop|playful|jangly guitars|diary-like lyrics|handmade pop,coming-of-age playlists|sunny walks|creative breaks,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2010s
79,Postcard Weather,June Kite,indie pop,nostalgic,0.72,122,0.62,0.73,0.48,Postcard Weather by June Kite is a nostalgic indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for sunny walks.,indie pop|nostalgic|jangly guitars|diary-like lyrics|handmade pop,sunny walks|creative breaks|casual hangs,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2020s
80,Almost Famous Friday,Bedroom Atlas,indie pop,happy,0.68,118,0.66,0.77,0.30,Almost Famous Friday by Bedroom Atlas is a happy indie pop track with handmade pop detail and a diary-like melody with an off-center charm. Clean guitar and synthesizer shape a sound designed for creative breaks.,indie pop|happy|jangly guitars|diary-like lyrics|handmade pop,creative breaks|casual hangs|coming-of-age playlists,clean guitar|synthesizer|hand percussion|soft vocals,false,false,2000s
81,City Limit Lessons,Mosaic Major,hip hop,focused,0.66,86,0.62,0.76,0.18,City Limit Lessons by Mosaic Major is a focused hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for urban commutes.,hip hop|focused|boom bap drums|lyrical flow|bass-heavy,urban commutes|focused training|head-nod sessions,drum sampler|sub bass|chopped keys|turntable textures,false,false,2010s
82,No Shortcuts,Kilo Verse,hip hop,energetic,0.70,90,0.66,0.88,0.04,No Shortcuts by Kilo Verse is an energetic hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for focused training.,hip hop|energetic|boom bap drums|lyrical flow|bass-heavy,focused training|head-nod sessions|confidence boosts,drum sampler|sub bass|chopped keys|turntable textures,false,false,2020s
83,Corner Store Crown,Avenue Sage,hip hop,moody,0.74,94,0.70,0.84,0.08,Corner Store Crown by Avenue Sage is a moody hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for head-nod sessions.,hip hop|moody|boom bap drums|lyrical flow|bass-heavy,head-nod sessions|confidence boosts|urban commutes,drum sampler|sub bass|chopped keys|turntable textures,false,true,1990s
84,Quiet Flex,Plainspoken J,hip hop,intense,0.78,98,0.52,0.70,0.12,Quiet Flex by Plainspoken J is an intense hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for confidence boosts.,hip hop|intense|boom bap drums|lyrical flow|bass-heavy,confidence boosts|urban commutes|focused training,drum sampler|sub bass|chopped keys|turntable textures,false,false,2010s
85,Meter Running,Northside Quill,hip hop,focused,0.82,102,0.64,0.74,0.16,Meter Running by Northside Quill is a focused hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for urban commutes.,hip hop|focused|boom bap drums|lyrical flow|bass-heavy,urban commutes|focused training|head-nod sessions,drum sampler|sub bass|chopped keys|turntable textures,false,false,2020s
86,Rooftop Cypher,Mosaic Major,hip hop,euphoric,0.86,106,0.60,0.78,0.20,Rooftop Cypher by Mosaic Major is an euphoric hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for focused training.,hip hop|euphoric|boom bap drums|lyrical flow|bass-heavy,focused training|head-nod sessions|confidence boosts,drum sampler|sub bass|chopped keys|turntable textures,false,false,1990s
87,Built From Scratch,Kilo Verse,hip hop,relaxed,0.68,88,0.46,0.82,0.24,Built From Scratch by Kilo Verse is a relaxed hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for head-nod sessions.,hip hop|relaxed|boom bap drums|lyrical flow|bass-heavy,head-nod sessions|confidence boosts|urban commutes,drum sampler|sub bass|chopped keys|turntable textures,false,true,2010s
88,Late Fee Wisdom,Avenue Sage,hip hop,intense,0.80,100,0.50,0.86,0.28,Late Fee Wisdom by Avenue Sage is an intense hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for confidence boosts.,hip hop|intense|boom bap drums|lyrical flow|bass-heavy,confidence boosts|urban commutes|focused training,drum sampler|sub bass|chopped keys|turntable textures,false,false,2020s
89,Forward Motion,Plainspoken J,hip hop,focused,0.76,96,0.54,0.90,0.10,Forward Motion by Plainspoken J is a focused hip hop track with punchy drums and a clear rhythmic pocket supporting tightly framed verses. Drum sampler and sub bass shape a sound designed for urban commutes.,hip hop|focused|boom bap drums|lyrical flow|bass-heavy,urban commutes|focused training|head-nod sessions,drum sampler|sub bass|chopped keys|turntable textures,false,false,1990s
90,Spring Room Sonata,Elena Voss,classical,relaxed,0.30,70,0.53,0.14,0.96,Spring Room Sonata by Elena Voss is a relaxed classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for quiet mornings.,classical|relaxed|orchestral|dynamic movement|acoustic detail,quiet mornings|formal dinners|reflective study,grand piano|violin|cello|viola,true,false,2010s
91,Ember Quartet,The Northbridge Quartet,classical,melancholy,0.34,74,0.57,0.26,0.82,Ember Quartet by The Northbridge Quartet is a melancholy classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for formal dinners.,classical|melancholy|orchestral|dynamic movement|acoustic detail,formal dinners|reflective study|focused reading,grand piano|violin|cello|viola,true,false,2020s
92,Riverstone Prelude,Milo Serrin,classical,romantic,0.38,78,0.61,0.22,0.86,Riverstone Prelude by Milo Serrin is a romantic classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for reflective study.,classical|romantic|orchestral|dynamic movement|acoustic detail,reflective study|focused reading|quiet mornings,grand piano|violin|cello|viola,true,false,1990s
93,Letters in Adagio,Orchard Hall Ensemble,classical,intense,0.42,82,0.43,0.08,0.90,Letters in Adagio by Orchard Hall Ensemble is an intense classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for focused reading.,classical|intense|orchestral|dynamic movement|acoustic detail,focused reading|quiet mornings|formal dinners,grand piano|violin|cello|viola,true,false,2010s
94,Morning Conservatory,Alder Chamber Players,classical,relaxed,0.46,86,0.55,0.12,0.94,Morning Conservatory by Alder Chamber Players is a relaxed classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for quiet mornings.,classical|relaxed|orchestral|dynamic movement|acoustic detail,quiet mornings|formal dinners|reflective study,grand piano|violin|cello|viola,true,false,2020s
95,Glasswood Etude,Elena Voss,classical,romantic,0.50,90,0.51,0.16,0.98,Glasswood Etude by Elena Voss is a romantic classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for formal dinners.,classical|romantic|orchestral|dynamic movement|acoustic detail,formal dinners|reflective study|focused reading,grand piano|violin|cello|viola,true,false,1990s
96,Quiet Triumph,The Northbridge Quartet,classical,hopeful,0.32,72,0.37,0.20,1.00,Quiet Triumph by The Northbridge Quartet is a hopeful classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for reflective study.,classical|hopeful|orchestral|dynamic movement|acoustic detail,reflective study|focused reading|quiet mornings,grand piano|violin|cello|viola,true,false,2010s
97,Snowfall Variations,Milo Serrin,classical,melancholy,0.44,84,0.41,0.24,1.00,Snowfall Variations by Milo Serrin is a melancholy classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for focused reading.,classical|melancholy|orchestral|dynamic movement|acoustic detail,focused reading|quiet mornings|formal dinners,grand piano|violin|cello|viola,true,false,2020s
98,Homeward Cadenza,Orchard Hall Ensemble,classical,hopeful,0.40,80,0.45,0.28,0.88,Homeward Cadenza by Orchard Hall Ensemble is a hopeful classical track with carefully shaped acoustic dynamics and a patient melodic arc. Grand piano and violin shape a sound designed for quiet mornings.,classical|hopeful|orchestral|dynamic movement|acoustic detail,quiet mornings|formal dinners|reflective study,grand piano|violin|cello|viola,true,false,1990s
99,Easy Tide,The Easy Currents,reggae,relaxed,0.52,80,0.84,0.70,0.40,Easy Tide by The Easy Currents is a relaxed reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for backyard gatherings.,reggae|relaxed|offbeat guitar|dub warmth|sunlit groove,backyard gatherings|slow weekends|sunny commutes,skank guitar|electric bass|organ|hand percussion,false,false,2000s
100,Good Neighbor,Sol Harbor,reggae,happy,0.56,84,0.88,0.82,0.26,Good Neighbor by Sol Harbor is a happy reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for slow weekends.,reggae|happy|offbeat guitar|dub warmth|sunlit groove,slow weekends|sunny commutes|beach afternoons,skank guitar|electric bass|organ|hand percussion,false,false,2020s
101,Green Horizon,Bright Roots,reggae,hopeful,0.60,88,0.92,0.78,0.30,Green Horizon by Bright Roots is a hopeful reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for sunny commutes.,reggae|hopeful|offbeat guitar|dub warmth|sunlit groove,sunny commutes|beach afternoons|backyard gatherings,skank guitar|electric bass|organ|hand percussion,false,false,1970s
102,Harbor Morning,Coconut Radio,reggae,relaxed,0.64,92,0.74,0.64,0.34,Harbor Morning by Coconut Radio is a relaxed reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for beach afternoons.,reggae|relaxed|offbeat guitar|dub warmth|sunlit groove,beach afternoons|backyard gatherings|slow weekends,skank guitar|electric bass|organ|hand percussion,false,false,2000s
103,One More Mango,Kingston Lantern,reggae,happy,0.68,96,0.86,0.68,0.38,One More Mango by Kingston Lantern is a happy reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for backyard gatherings.,reggae|happy|offbeat guitar|dub warmth|sunlit groove,backyard gatherings|slow weekends|sunny commutes,skank guitar|electric bass|organ|hand percussion,false,false,2020s
104,Open Gate,The Easy Currents,reggae,uplifting,0.72,100,0.82,0.72,0.42,Open Gate by The Easy Currents is an uplifting reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for slow weekends.,reggae|uplifting|offbeat guitar|dub warmth|sunlit groove,slow weekends|sunny commutes|beach afternoons,skank guitar|electric bass|organ|hand percussion,false,false,1970s
105,Warm Rain Rhythm,Sol Harbor,reggae,relaxed,0.54,82,0.68,0.76,0.46,Warm Rain Rhythm by Sol Harbor is a relaxed reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for sunny commutes.,reggae|relaxed|offbeat guitar|dub warmth|sunlit groove,sunny commutes|beach afternoons|backyard gatherings,skank guitar|electric bass|organ|hand percussion,false,false,2000s
106,Slow Road Smiling,Bright Roots,reggae,relaxed,0.66,94,0.72,0.80,0.50,Slow Road Smiling by Bright Roots is a relaxed reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for beach afternoons.,reggae|relaxed|offbeat guitar|dub warmth|sunlit groove,beach afternoons|backyard gatherings|slow weekends,skank guitar|electric bass|organ|hand percussion,false,false,2020s
107,Palm Shade Promise,Coconut Radio,reggae,happy,0.62,90,0.76,0.84,0.32,Palm Shade Promise by Coconut Radio is a happy reggae track with a buoyant offbeat groove and warm low end that leave plenty of sunlight. Skank guitar and electric bass shape a sound designed for backyard gatherings.,reggae|happy|offbeat guitar|dub warmth|sunlit groove,backyard gatherings|slow weekends|sunny commutes,skank guitar|electric bass|organ|hand percussion,false,false,1970s
108,Beneath the Anvil,Grim Meridian,metal,aggressive,0.85,148,0.36,0.34,0.07,Beneath the Anvil by Grim Meridian is an aggressive metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for cathartic release.,metal|aggressive|heavy riffs|double kick|dramatic intensity,cathartic release|high-intensity gaming|focused adrenaline,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,2000s
109,Unyielding,Hollow Foundry,metal,moody,0.89,152,0.40,0.46,0.00,Unyielding by Hollow Foundry is a moody metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for high-intensity gaming.,metal|moody|heavy riffs|double kick|dramatic intensity,high-intensity gaming|focused adrenaline|maximum-effort training,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,true,2020s
110,Ashen Signal,North Pyre,metal,intense,0.93,156,0.44,0.42,0.00,Ashen Signal by North Pyre is an intense metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for focused adrenaline.,metal|intense|heavy riffs|double kick|dramatic intensity,focused adrenaline|maximum-effort training|cathartic release,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,1990s
111,Teeth of Winter,The Severed Oath,metal,moody,0.97,160,0.26,0.28,0.01,Teeth of Winter by The Severed Oath is a moody metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for maximum-effort training.,metal|moody|heavy riffs|double kick|dramatic intensity,maximum-effort training|cathartic release|high-intensity gaming,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,2000s
112,Obsidian March,Warden Ash,metal,intense,1.00,164,0.38,0.32,0.05,Obsidian March by Warden Ash is an intense metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for cathartic release.,metal|intense|heavy riffs|double kick|dramatic intensity,cathartic release|high-intensity gaming|focused adrenaline,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,2020s
113,Gravelung,Grim Meridian,metal,intense,1.00,168,0.34,0.36,0.09,Gravelung by Grim Meridian is an intense metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for high-intensity gaming.,metal|intense|heavy riffs|double kick|dramatic intensity,high-intensity gaming|focused adrenaline|maximum-effort training,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,true,1990s
114,Last Iron Dawn,Hollow Foundry,metal,aggressive,0.87,150,0.20,0.40,0.13,Last Iron Dawn by Hollow Foundry is an aggressive metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for focused adrenaline.,metal|aggressive|heavy riffs|double kick|dramatic intensity,focused adrenaline|maximum-effort training|cathartic release,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,2000s
115,Ritual Engine,North Pyre,metal,intense,0.99,162,0.24,0.44,0.17,Ritual Engine by North Pyre is an intense metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for maximum-effort training.,metal|intense|heavy riffs|double kick|dramatic intensity,maximum-effort training|cathartic release|high-intensity gaming,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,false,2020s
116,No Gods in Static,The Severed Oath,metal,aggressive,0.95,158,0.28,0.48,0.00,No Gods in Static by The Severed Oath is an aggressive metal track with dense down-tuned riffs and precision percussion aimed at controlled intensity. Down-tuned guitar and double-kick drums shape a sound designed for cathartic release.,metal|aggressive|heavy riffs|double kick|dramatic intensity,cathartic release|high-intensity gaming|focused adrenaline,down-tuned guitar|double-kick drums|distorted bass|harsh vocals,false,true,1990s
117,Porchlight Still On,Eli Mason Road,country,happy,0.45,88,0.66,0.49,0.63,Porchlight Still On by Eli Mason Road is a happy country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for porch evenings.,country|happy|storytelling|acoustic twang|open-road warmth,porch evenings|family cookouts|reflective travel,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2000s
118,Two-Lane Memory,The Prairie Letters,country,hopeful,0.49,92,0.70,0.61,0.49,Two-Lane Memory by The Prairie Letters is a hopeful country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for family cookouts.,country|hopeful|storytelling|acoustic twang|open-road warmth,family cookouts|reflective travel|scenic drives,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2020s
119,Wildflower Mile,Mae Holloway,country,nostalgic,0.53,96,0.74,0.57,0.53,Wildflower Mile by Mae Holloway is a nostalgic country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for reflective travel.,country|nostalgic|storytelling|acoustic twang|open-road warmth,reflective travel|scenic drives|porch evenings,acoustic guitar|pedal steel|fiddle|brush drums,false,false,1970s
120,Saturday at the Feed Store,Red Cedar Union,country,relaxed,0.57,100,0.56,0.43,0.57,Saturday at the Feed Store by Red Cedar Union is a relaxed country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for scenic drives.,country|relaxed|storytelling|acoustic twang|open-road warmth,scenic drives|porch evenings|family cookouts,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2000s
121,Map in the Glovebox,Larkspur County,country,romantic,0.61,104,0.68,0.47,0.61,Map in the Glovebox by Larkspur County is a romantic country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for porch evenings.,country|romantic|storytelling|acoustic twang|open-road warmth,porch evenings|family cookouts|reflective travel,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2020s
122,Old Barn Radio,Eli Mason Road,country,focused,0.65,108,0.64,0.51,0.65,Old Barn Radio by Eli Mason Road is a focused country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for family cookouts.,country|focused|storytelling|acoustic twang|open-road warmth,family cookouts|reflective travel|scenic drives,acoustic guitar|pedal steel|fiddle|brush drums,false,false,1970s
123,River Bend Letter,The Prairie Letters,country,nostalgic,0.47,90,0.50,0.55,0.69,River Bend Letter by The Prairie Letters is a nostalgic country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for reflective travel.,country|nostalgic|storytelling|acoustic twang|open-road warmth,reflective travel|scenic drives|porch evenings,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2000s
124,Home Before the Rain,Mae Holloway,country,relaxed,0.59,102,0.54,0.59,0.73,Home Before the Rain by Mae Holloway is a relaxed country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for scenic drives.,country|relaxed|storytelling|acoustic twang|open-road warmth,scenic drives|porch evenings|family cookouts,acoustic guitar|pedal steel|fiddle|brush drums,false,false,2020s
125,Copper Sky Goodbye,Red Cedar Union,country,nostalgic,0.55,98,0.58,0.63,0.55,Copper Sky Goodbye by Red Cedar Union is a nostalgic country track with plainspoken storytelling and an open-road acoustic arrangement. Acoustic guitar and pedal steel shape a sound designed for porch evenings.,country|nostalgic|storytelling|acoustic twang|open-road warmth,porch evenings|family cookouts|reflective travel,acoustic guitar|pedal steel|fiddle|brush drums,false,false,1970s
126,Drop the Daylight,Lumen Drop,edm,energetic,0.82,120,0.80,0.82,0.06,Drop the Daylight by Lumen Drop is an energetic edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for party peaks.,edm|energetic|festival build|four-on-the-floor|synth drop,party peaks|festival energy|fast-paced gaming,software synthesizer|drum machine|sub bass|vocal chops,true,false,2020s
127,Infinite Floor,Kinetic North,edm,euphoric,0.86,124,0.84,0.94,0.00,Infinite Floor by Kinetic North is an euphoric edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for festival energy.,edm|euphoric|festival build|four-on-the-floor|synth drop,festival energy|fast-paced gaming|dance workouts,software synthesizer|drum machine|sub bass|vocal chops,false,false,2010s
128,Prism Rush,Echo Array,edm,energetic,0.90,128,0.88,0.90,0.00,Prism Rush by Echo Array is an energetic edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for fast-paced gaming.,edm|energetic|festival build|four-on-the-floor|synth drop,fast-paced gaming|dance workouts|party peaks,software synthesizer|drum machine|sub bass|vocal chops,false,false,2020s
129,Skyline Frequency,Nova Circuit,edm,uplifting,0.94,132,0.70,0.76,0.00,Skyline Frequency by Nova Circuit is an uplifting edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for dance workouts.,edm|uplifting|festival build|four-on-the-floor|synth drop,dance workouts|party peaks|festival energy,software synthesizer|drum machine|sub bass|vocal chops,true,false,2010s
130,Afterhours Lift,Astra Phase,edm,intense,0.98,136,0.82,0.80,0.04,Afterhours Lift by Astra Phase is an intense edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for party peaks.,edm|intense|festival build|four-on-the-floor|synth drop,party peaks|festival energy|fast-paced gaming,software synthesizer|drum machine|sub bass|vocal chops,false,false,2020s
131,Pulse Together,Lumen Drop,edm,euphoric,1.00,140,0.78,0.84,0.08,Pulse Together by Lumen Drop is an euphoric edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for festival energy.,edm|euphoric|festival build|four-on-the-floor|synth drop,festival energy|fast-paced gaming|dance workouts,software synthesizer|drum machine|sub bass|vocal chops,false,false,2010s
132,Gravity Strobe,Kinetic North,edm,intense,0.84,122,0.64,0.88,0.12,Gravity Strobe by Kinetic North is an intense edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for fast-paced gaming.,edm|intense|festival build|four-on-the-floor|synth drop,fast-paced gaming|dance workouts|party peaks,software synthesizer|drum machine|sub bass|vocal chops,true,false,2020s
133,Festival Signal,Echo Array,edm,happy,0.96,134,0.68,0.92,0.16,Festival Signal by Echo Array is a happy edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for dance workouts.,edm|happy|festival build|four-on-the-floor|synth drop,dance workouts|party peaks|festival energy,software synthesizer|drum machine|sub bass|vocal chops,false,false,2010s
134,Bright Noise Forever,Nova Circuit,edm,euphoric,0.92,130,0.72,0.96,0.00,Bright Noise Forever by Nova Circuit is an euphoric edm track with a tension-building electronic arrangement that opens into a bright festival-sized drop. Software synthesizer and drum machine shape a sound designed for party peaks.,edm|euphoric|festival build|four-on-the-floor|synth drop,party peaks|festival energy|fast-paced gaming,software synthesizer|drum machine|sub bass|vocal chops,false,false,2020s
135,Kitchen Table Trouble,The Low River Band,blues,somber,0.38,74,0.43,0.42,0.66,Kitchen Table Trouble by The Low River Band is a somber blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for slow drives.,blues|somber|twelve-bar feel|expressive guitar|weathered vocals,slow drives|focused listening|rainy evenings,electric guitar|harmonica|upright piano|shuffle drums,false,false,1970s
136,Blue Coat Weather,Jonah Flint,blues,somber,0.42,78,0.47,0.54,0.52,Blue Coat Weather by Jonah Flint is a somber blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for focused listening.,blues|somber|twelve-bar feel|expressive guitar|weathered vocals,focused listening|rainy evenings|late-night reflection,electric guitar|harmonica|upright piano|shuffle drums,false,false,2020s
137,Rent Due Monday,Mercy Rail,blues,aggressive,0.46,82,0.51,0.50,0.56,Rent Due Monday by Mercy Rail is an aggressive blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for rainy evenings.,blues|aggressive|twelve-bar feel|expressive guitar|weathered vocals,rainy evenings|late-night reflection|slow drives,electric guitar|harmonica|upright piano|shuffle drums,false,false,1950s
138,River Took My Name,Briar James,blues,focused,0.50,86,0.33,0.36,0.60,River Took My Name by Briar James is a focused blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for late-night reflection.,blues|focused|twelve-bar feel|expressive guitar|weathered vocals,late-night reflection|slow drives|focused listening,electric guitar|harmonica|upright piano|shuffle drums,false,false,1970s
139,Slow Fuse Heart,Etta Clay,blues,melancholy,0.54,90,0.45,0.40,0.64,Slow Fuse Heart by Etta Clay is a melancholy blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for slow drives.,blues|melancholy|twelve-bar feel|expressive guitar|weathered vocals,slow drives|focused listening|rainy evenings,electric guitar|harmonica|upright piano|shuffle drums,false,false,2020s
140,Back Door Morning,The Low River Band,blues,hopeful,0.58,94,0.41,0.44,0.68,Back Door Morning by The Low River Band is a hopeful blues track with weathered vocals and expressive guitar phrases grounded in an unhurried shuffle. Electric guitar and harmonica shape a sound designed for focused listening.,blues|hopeful|twelve-bar feel|expressive guitar|weathered vocals,focused listening|rainy evenings|late-night reflection,electric guitar|harmonica|upright piano|shuffle drums,false,false,1950s
